Date,d15min,d30min,d45min,d1h,d2h,d3h,d4h,d6h,d8h,d12h,d24h
2014-05-30,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
2014-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-03,70.0,120.0,141.0,144.0,194.0,205.0,208.0,208.0,208.0,208.0,208.0
2014-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,208.0,208.0
2014-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,3.0,3.0,5.0,5.0,7.0,9.0,12.0,15.0,15.0,15.0,15.0
2014-06-12,29.0,50.0,63.0,76.0,111.0,158.0,179.0,226.0,259.0,271.0,329.0
2014-06-13,32.0,50.0,63.0,78.0,128.0,175.0,195.0,208.0,297.0,330.0,392.0
2014-06-14,4.0,5.0,8.0,11.0,64.0,71.0,73.0,80.0,84.0,173.0,414.0
2014-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
2014-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,45.0,85.0,106.0,120.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
2014-06-18,20.0,33.0,73.0,113.0,178.0,205.0,231.0,241.0,241.0,241.0,241.0
2014-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
2014-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-24,58.0,105.0,137.0,166.0,271.0,297.0,297.0,297.0,320.0,420.0,435.0
2014-06-25,0.0,32.0,79.0,137.0,251.0,297.0,297.0,297.0,302.0,420.0,435.0
2014-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-04,16.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2014-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2014-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-07,18.0,31.0,45.0,56.0,64.0,69.0,72.0,84.0,89.0,89.0,89.0
2014-07-08,15.0,28.0,40.0,51.0,62.0,62.0,62.0,62.0,62.0,81.0,89.0
2014-07-09,0.0,0.0,0.0,0.0,0.0,40.0,62.0,62.0,62.0,62.0,62.0
2014-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-13,26.0,36.0,45.0,49.0,52.0,52.0,52.0,98.0,98.0,98.0,98.0
2014-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,71.0,98.0
2014-07-15,7.0,12.0,12.0,16.0,18.0,18.0,18.0,18.0,18.0,21.0,21.0
2014-07-16,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,19.0,21.0
2014-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-23,34.0,41.0,48.0,48.0,54.0,60.0,98.0,113.0,113.0,113.0,113.0
2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,113.0
2014-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-27,37.0,45.0,49.0,49.0,52.0,68.0,83.0,92.0,92.0,92.0,92.0
2014-07-28,7.0,12.0,15.0,18.0,27.0,41.0,47.0,64.0,74.0,83.0,92.0
2014-07-29,0.0,0.0,0.0,0.0,0.0,3.0,3.0,20.0,42.0,77.0,83.0
2014-07-30,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2014-07-31,40.0,63.0,76.0,83.0,120.0,122.0,122.0,122.0,122.0,122.0,127.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,122.0
2014-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-06,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
2014-08-07,27.0,27.0,27.0,27.0,43.0,43.0,51.0,53.0,53.0,53.0,53.0
